AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Missingness,Repeat,columns_imp_count
0.7791882862557719,0.7807499787542908,0.7001640746365048,0.7031470911661518,GB,complete_case,mnarY2,0,3
0.7886880688814952,0.7587167040248438,0.7137979787401163,0.6865877712031558,GB,mean,mnarY2,0,3
0.7480099249622904,0.7472758905478672,0.6777242498821805,0.677722504407324,LDA,mean,mnarY2,0,3
0.7462301541358208,0.7444453379811148,0.6800980956869316,0.6777085406084724,SVC,mean,mnarY2,0,3
0.741997140384644,0.7536317236709784,0.6712083922431098,0.683616972997504,RF,mean,mnarY2,0,3
0.7768974881983872,0.7311603273989883,0.7061143984220907,0.6783020020596603,GB,median,mnarY2,0,3
0.750249659807891,0.7486335425321717,0.6771307884309927,0.6788692813880016,LDA,median,mnarY2,0,3
0.7485476286584776,0.7471821141474967,0.6783037475345168,0.6771115882075719,SVC,median,mnarY2,0,3
0.7494800191492011,0.7463778907885608,0.6907228011380497,0.6847951685255974,RF,median,mnarY2,0,3
0.7789468085914817,0.7350425229581556,0.7096385121572324,0.6723953151454853,GB,knn,mnarY2,0,3
0.7518968454877417,0.7502123334186143,0.672967830898396,0.675959574802325,LDA,knn,mnarY2,0,3
0.7466401329983887,0.7468949998055477,0.6759281562549091,0.6824300500951284,SVC,knn,mnarY2,0,3
0.7381551351016021,0.7444644072159022,0.6806845752386936,0.6836396641706376,RF,knn,mnarY2,0,3
0.7835224894338915,0.7327515982460456,0.7143827128170218,0.664106055052277,GB,mice,mnarY2,0,3
0.7469350741056797,0.7468021847393771,0.678312474908799,0.6788919725611352,LDA,mice,mnarY2,0,3
0.7448570160037434,0.7442300982090675,0.6735717651987224,0.6777085406084725,SVC,mice,mnarY2,0,3
0.7428090653442522,0.7535394737083912,0.6788884816114223,0.6877677122061057,RF,mice,mnarY2,0,3
0.779644094758198,0.720390067001343,0.7084620621039954,0.6558185404339251,GB,tree,mnarY2,0,3
0.745136128498818,0.744792193866961,0.6729940130212424,0.6694175350404077,LDA,tree,mnarY2,0,3
0.7442793798110481,0.7444634443916469,0.6735752561484352,0.6706044579427834,SVC,tree,mnarY2,0,3
0.752071758395234,0.7418950450039006,0.6889441622593426,0.6913180080640938,RF,tree,mnarY2,0,3
0.8259741653168005,0.8335683965566403,0.740383306278473,0.7528198146305703,GB,complete_case,mnarY4,0,3
0.8252416741032859,0.8291424432054134,0.7421916182297394,0.7522368260285212,GB,mean,mnarY4,0,3
0.7313929528913461,0.7347819941880878,0.6688502557120665,0.6706114398422092,LDA,mean,mnarY4,0,3
0.7328130978071994,0.7281478241438377,0.6682428304620271,0.6682550487860224,SVC,mean,mnarY4,0,3
0.7846385888786125,0.780077605572053,0.7149517376202196,0.71319404443979,RF,mean,mnarY4,0,3
0.8309545785360373,0.7928367616284062,0.7475135710670088,0.704906529821438,GB,median,mnarY4,0,3
0.7378339076752616,0.7396101728976072,0.6694192805152641,0.6712258469916741,LDA,median,mnarY4,0,3
0.7371059261149975,0.7369192365531299,0.6711804646454068,0.6676580963851216,SVC,median,mnarY4,0,3
0.7620669519725778,0.7620691608558223,0.6901241032622926,0.6918940147667173,RF,median,mnarY4,0,3
0.824507519242702,0.7684015870681453,0.7398195178998447,0.6989893700581243,GB,knn,mnarY4,0,3
0.7328137586468547,0.7398411287826738,0.6646977710286083,0.6711961739191146,LDA,knn,mnarY4,0,3
0.7404107296022442,0.7391564055230002,0.6735717651987223,0.6717931263200153,SVC,knn,mnarY4,0,3
0.7553687523769491,0.7546366407550966,0.6901328306365746,0.6942643696217556,RF,knn,mnarY4,0,3
0.8273728765279837,0.7853623027954884,0.749843780000349,0.7119914122637063,GB,mice,mnarY4,0,3
0.731436097699369,0.7337380284587705,0.6640973276779948,0.6694210259901207,LDA,mice,mnarY4,0,3
0.7318281541732706,0.7311198028537247,0.6617601368452288,0.6676580963851215,SVC,mice,mnarY4,0,3
0.7608660719656124,0.7530869747436074,0.6984081269309316,0.6954425651498489,RF,mice,mnarY4,0,3
0.834711821758358,0.7627215173762585,0.7492782461468643,0.6930704648199543,GB,tree,mnarY4,0,3
0.7241909862365056,0.7265963633603872,0.6558290132830636,0.6540591017786389,LDA,tree,mnarY4,0,3
0.7256802478777014,0.7244663341061258,0.6617269728229564,0.6558150494842122,SVC,tree,mnarY4,0,3
0.7552324865446739,0.7472711490668005,0.6942818243703199,0.6812413817178964,RF,tree,mnarY4,0,3
0.9416178035219648,0.9431866502740684,0.8976924822397934,0.8923652929779546,GB,complete_case,mnarY8,0,3
0.9439064025056376,0.9437618067659151,0.894739138782706,0.8893997311968722,GB,mean,mnarY8,0,3
0.711713399776899,0.7132005296452272,0.6676755511336859,0.6629470597476043,LDA,mean,mnarY8,0,3
0.7145297970638652,0.7146427740722578,0.6599640432179574,0.6652982143792219,SVC,mean,mnarY8,0,3
0.9313097510430017,0.9310752184036566,0.8693128065490218,0.8722713864306785,RF,mean,mnarY8,0,3
0.9431323794692789,0.9397400672521691,0.8906110907472378,0.8852647012619783,GB,median,mnarY8,0,3
0.717980893712497,0.7162912628057241,0.6664729189576024,0.664668097956049,LDA,median,mnarY8,0,3
0.7426949177730204,0.7055534016801965,0.6942783334206071,0.6581557312666911,SVC,median,mnarY8,0,3
0.9027807686918656,0.9007105390936697,0.8178439894573319,0.8107556160653505,RF,median,mnarY8,0,3
0.9463734175175007,0.9093673134550977,0.8947234295089979,0.8385488122043603,GB,knn,mnarY8,0,3
