AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Missingness,Repeat,columns_imp_count
0.699739655789427,0.7036038758929875,0.07571750207370541,0.05781964687759213,GB,complete_case,mnarY2,0,4
0.6920397201154165,0.6686220147020852,0.06606706955800451,0.06056167792392464,GB,mean,mnarY2,0,4
0.6499309773533912,0.6516752644852224,0.0,0.0,LDA,mean,mnarY2,0,4
0.5250967225163735,0.5619909568972261,0.0,0.0,SVC,mean,mnarY2,0,4
0.7089841139509347,0.6911653130854019,0.0,0.0,RF,mean,mnarY2,0,4
0.6943363717768154,0.6201856149584177,0.0736674961488328,0.05572935181893589,GB,median,mnarY2,0,4
0.6464800779355165,0.6453384867467673,0.001374570446735395,0.0013769403957814906,LDA,median,mnarY2,0,4
0.575115205614838,0.5665343054310774,0.0,0.0,SVC,median,mnarY2,0,4
0.6618279911987794,0.6684980717689335,0.0,0.0,RF,median,mnarY2,0,4
0.6940431224723878,0.6436536939077483,0.0646996089584074,0.05573172176798199,GB,knn,mnarY2,0,4
0.6460927939009021,0.6417149446090566,0.0013769403957814906,0.001374570446735395,LDA,knn,mnarY2,0,4
0.5776753631509483,0.5939214851258197,0.0006872852233676975,0.0,SVC,knn,mnarY2,0,4
0.6762960809760663,0.6809832455835256,0.0,0.0,RF,knn,mnarY2,0,4
0.6903597441064017,0.6560165489826393,0.07431686218746297,0.06536793458940633,GB,mice,mnarY2,0,4
0.646371198746197,0.6406245148945479,0.001374570446735395,0.0013769403957814906,LDA,mice,mnarY2,0,4
0.5355232837856458,0.6006249019258474,0.0,0.0,SVC,mice,mnarY2,0,4
0.6846855617230307,0.679697811065443,0.0,0.0,RF,mice,mnarY2,0,4
0.6877966627743014,0.6295175739094124,0.06742505036141723,0.05437611091361536,GB,tree,mnarY2,0,4
0.6303566884918126,0.6352663168072208,0.000689655172413793,0.0006872852233676975,LDA,tree,mnarY2,0,4
0.6097375340550996,0.5931429823209702,0.0006872852233676975,0.0,SVC,tree,mnarY2,0,4
0.6852976150521775,0.6785992925949935,0.0,0.0,RF,tree,mnarY2,0,4
0.7474541628697583,0.7631791330761531,0.07434530157601611,0.07777698779476241,GB,complete_case,mnarY4,0,4
0.7490755291581378,0.7490923583296334,0.08605047991468184,0.07226211636449817,GB,mean,mnarY4,0,4
0.658421443040502,0.6663794284885712,0.000689655172413793,0.0013769403957814906,LDA,mean,mnarY4,0,4
0.6656718624255866,0.6230563415735071,0.0,0.0,SVC,mean,mnarY4,0,4
0.7580690983679693,0.7705643691899001,0.0,0.0,RF,mean,mnarY4,0,4
0.7638458403290727,0.6882328287134012,0.07364616660741793,0.060554568076786344,GB,median,mnarY4,0,4
0.6473127378665997,0.6495473703639034,0.0034411660149306785,0.004137931034482759,LDA,median,mnarY4,0,4
0.5689513109421603,0.4884049634856287,0.0,0.0006872852233676975,SVC,median,mnarY4,0,4
0.6841370563563907,0.6968398708544445,0.0,0.0,RF,median,mnarY4,0,4
0.7678282338242907,0.660438837495741,0.08187936959355376,0.050915985306315914,GB,knn,mnarY4,0,4
0.6362853266101883,0.6402312643338789,0.0006872852233676975,0.004123711340206186,LDA,knn,mnarY4,0,4
0.5935881253048769,0.5963606544971836,0.0,0.0,SVC,knn,mnarY4,0,4
0.694777380562748,0.6997380761962544,0.0,0.0,RF,knn,mnarY4,0,4
0.7649857540518177,0.7428305883472903,0.08535371489512976,0.07641900699134968,GB,mice,mnarY4,0,4
0.6366987315408432,0.6587969327794276,0.001374570446735395,0.0006872852233676975,LDA,mice,mnarY4,0,4
0.636754620644532,0.6561761634657667,0.0,0.0,SVC,mice,mnarY4,0,4
0.7397831789705329,0.749932461551525,0.0,0.0,RF,mice,mnarY4,0,4
0.7607126088677296,0.7154339930383425,0.07158194098826876,0.05162460007109847,GB,tree,mnarY4,0,4
0.6357363492239415,0.6455957832716896,0.0020642256191491883,0.0020642256191491883,LDA,tree,mnarY4,0,4
0.5795171836569815,0.5723348664183273,0.0,0.0,SVC,tree,mnarY4,0,4
0.7045085801395011,0.7123522154308388,0.0,0.0,RF,tree,mnarY4,0,4
0.928362116989849,0.9236227279348613,0.07845953312003792,0.07707548287711814,GB,complete_case,mnarY8,0,4
0.918230366034728,0.9250271758165004,0.07843346368053088,0.07226448631354426,GB,mean,mnarY8,0,4
0.6873312241861955,0.6851357135659153,0.007564877355136865,0.00619030690840147,LDA,mean,mnarY8,0,4
0.6607734436466695,0.6853015522655913,0.002758620689655172,0.006187936959355374,SVC,mean,mnarY8,0,4
0.9197374205721707,0.9180951850704634,0.024081052257376466,0.02477781727692855,RF,mean,mnarY8,0,4
0.9158319662728734,0.9177652000038753,0.08260931389975115,0.07706837302997986,GB,median,mnarY8,0,4
0.7534963062173803,0.7492342342911564,0.033722004976893,0.03097286408342221,LDA,median,mnarY8,0,4
0.6691269270138507,0.6298042545840351,0.0061926768574475655,0.0048252162578504565,SVC,median,mnarY8,0,4
0.897107592694306,0.8908388725020036,0.007583836947505629,0.00481810641071217,RF,median,mnarY8,0,4
0.9196904106404566,0.8855961197560077,0.08259272425642848,0.06608128925228109,GB,knn,mnarY8,0,4
0.7305432539317065,0.7356406122498181,0.00826401232373504,0.006199786704585851,LDA,knn,mnarY8,0,4
0.6882048569058313,0.6971122484677512,0.000689655172413793,0.0,SVC,knn,mnarY8,0,4
0.8331641471350281,0.8339506247173303,0.0,0.0,RF,knn,mnarY8,0,4
0.918052685961292,0.9233919611418593,0.08325867993838133,0.07295651143500415,GB,mice,mnarY8,0,4
0.6692327040060688,0.6452832468249,0.002753880791562981,0.0013769403957814906,LDA,mice,mnarY8,0,4
0.5725952354068324,0.6315917370849303,0.0,0.0,SVC,mice,mnarY8,0,4
0.909283583755221,0.9070131434293149,0.005507761583125962,0.007571987202275152,RF,mice,mnarY8,0,4
0.9206228166150803,0.9145110918784802,0.07843346368053086,0.07775091835525536,GB,tree,mnarY8,0,4
0.6825481813703995,0.6598555947071661,0.002753880791562981,0.0,LDA,tree,mnarY8,0,4
0.6236347724876644,0.6463727300224019,0.0,0.0,SVC,tree,mnarY8,0,4
0.8527074301312491,0.8554378405556422,0.0006872852233676975,0.0013769403957814906,RF,tree,mnarY8,0,4
0.6202144738159574,0.6372769394536114,0.052307145396373975,0.05230240549828179,GB,complete_case,mnarF2,0,4
0.6241003646989495,0.6269383968326072,0.05436189121933878,0.046813603507524594,GB,mean,mnarF2,0,4
