AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Repeat
0.9719251802746471,0.9719158993555652,0.9806057310560071,0.9803837587801952,GB,mean,0
0.7192578749666871,0.6779919724903465,0.7449851397754952,0.731387475698505,LDA,mean,0
0.4867361912957115,0.5521306954705015,0.7050825195591344,0.7053054849994911,SVC,mean,0
0.9691466577183483,0.9693567151599348,0.9806049861825983,0.9806062276382794,RF,mean,0
0.9734453628178734,0.9741828393881917,0.9794916487276322,0.9803827656156503,GB,median,0
0.78141395824939,0.7597982493428621,0.8198811678621885,0.8123030740925581,LDA,median,0
0.7193844601035443,0.6882597589567878,0.8187693201540398,0.8082949102799979,SVC,median,0
0.9689378172876266,0.9692806577405063,0.9806059793471432,0.9806059793471433,RF,median,0
0.9733650252658167,0.9045375750310909,0.9803822690333778,0.8502032262950244,GB,knn,0
0.7119188705233641,0.6916042828332222,0.738515665929242,0.7273763323923099,LDA,knn,0
0.6669628460706182,0.6409936460810867,0.7209100863308281,0.7209108312042368,SVC,knn,0
0.8041768979386912,0.7959434248387616,0.7146673022919755,0.7113240621423056,RF,knn,0
0.973175890766945,0.9720940357658103,0.9806062276382794,0.9792676901227303,GB,mice,0
0.7174062223055497,0.6714319210290547,0.7385183971317408,0.7304973519750319,LDA,mice,0
0.5129956641976355,0.567292629460692,0.7050825195591344,0.7050825195591344,SVC,mice,0
0.9721047340965174,0.9723155437198198,0.9692372248003117,0.9685695699349228,RF,mice,0
0.9697340050494704,0.9749944387431272,0.9797131244211712,0.9763703808537739,GB,tree,0
0.8247229792631776,0.7884134084578645,0.8236708354748444,0.8134196393322954,LDA,tree,0
0.8394515727203566,0.7887095652806435,0.8591173746688415,0.8379418651133573,SVC,tree,0
0.9674518592840112,0.9695555608778521,0.8905450735314201,0.884973668725,RF,tree,0
0.9716182773862775,0.974289662969197,0.9806054827648708,0.979938076190618,GB,mean,1
0.7203822817578552,0.6829485734775862,0.7431999265058238,0.7287091592117253,LDA,mean,1
0.47725166972907385,0.5375711679953142,0.7050825195591344,0.7050825195591344,SVC,mean,1
0.9692180579567344,0.969271679837893,0.9806062276382794,0.9806072208028246,RF,mean,1
0.9732786427624547,0.9713731421797632,0.9799373313172094,0.9803845036536041,GB,median,1
0.782036643743518,0.7591769709702049,0.8221170295441624,0.8136431013549249,LDA,median,1
0.728532099388304,0.6880935240249898,0.8194364784371564,0.8076235310475651,SVC,median,1
0.9689432503749075,0.9692364885096761,0.9806072208028247,0.9806074690939608,RF,median,1
0.9723981624848108,0.9071180224591313,0.9799383244817543,0.8564402996377432,GB,knn,1
0.7161178866062239,0.6945575986428796,0.7360695016548605,0.7267029668307871,LDA,knn,1
0.673674284513833,0.6673151868515423,0.7209105829131006,0.7209083482928743,SVC,knn,1
0.8022919100645522,0.8006367743736004,0.714222364575807,0.7128848202248028,RF,knn,1
0.972307758903462,0.9704290007174867,0.9801593035930211,0.9797148624591252,GB,mice,1
0.7160911143108917,0.6686178981254802,0.7389678040883618,0.7309412965266554,LDA,mice,1
0.5122982744679895,0.5418818639832962,0.7050825195591344,0.7057514158802046,SVC,mice,1
0.9706317092450968,0.973463977164409,0.9665616395160308,0.9687937768309609,RF,mice,1
0.9736452016214585,0.9727880818240621,0.9797133727123075,0.9772614977417919,GB,tree,1
0.8356911901401844,0.7857908793855195,0.8303558260273667,0.8120830881458364,LDA,tree,1
0.8313116297509087,0.788952835853981,0.8519782596281095,0.8359339346944654,SVC,tree,1
0.9686806024114887,0.9680264165818386,0.8854191030234413,0.8836368692474046,RF,tree,1
0.9725443796930751,0.9726748583957537,0.9801583104284759,0.9806067242205521,GB,mean,2
0.7213292815964027,0.6847551059261081,0.7436470988422184,0.7287101523762703,LDA,mean,2
0.4851628777688676,0.5316352200686187,0.7050825195591344,0.7053054849994911,SVC,mean,2
0.9693224192466685,0.9692004660228072,0.9806069725116883,0.9806074690939608,RF,mean,2
0.9731963458792157,0.9717997720456358,0.9808284482052276,0.9801605450487022,GB,median,2
0.778245373092021,0.758132704074374,0.8225567531464695,0.8114134469513573,LDA,median,2
0.7182747127237521,0.6930340661398313,0.8185453615491382,0.8105208403165214,SVC,median,2
0.9691438938685805,0.9695220326101172,0.9806064759294157,0.980604737891462,RF,median,2
0.9732252607276491,0.9026873412965181,0.9801615382132474,0.8473051721526593,GB,knn,2
0.7144953616728078,0.699587342620518,0.737181349363009,0.7287123869964967,LDA,knn,2
0.666522893484449,0.6544860168976001,0.7209076034194656,0.7209098380396919,SVC,knn,2
0.8018213437254291,0.796429335827804,0.7153354537396369,0.7124388893440893,RF,knn,2
0.9715249104404972,0.9732063812381304,0.9797146141679889,0.9788239938622432,GB,mice,2
0.7160703987433755,0.6718259757527599,0.738966066050408,0.7273708699873123,LDA,mice,2
0.5398663760544079,0.5624362111316994,0.7050825195591344,0.7055284504398479,SVC,mice,2
0.9718615930076251,0.9720918331296398,0.9665623843894398,0.9683443698743399,RF,mice,2
0.9738206266331403,0.9726727383380736,0.979713621003444,0.9765945877498119,GB,tree,2
0.8304981662773043,0.7852351452957821,0.8361588864639122,0.8129739567427181,LDA,tree,2
0.8192805772772143,0.7924457418728672,0.8486429647947998,0.8374944444858261,SVC,tree,2
0.9672262119438212,0.9681050166698789,0.8894322326587263,0.8847516964491884,RF,tree,2
