AUC,AUC_wo,Accuracy,Accuracy_wo,Classifier_Type,Imputer,Missingness,Repeat,columns_imp_count
0.6045963119721336,0.5890507658208798,0.563,0.558,GB,complete_case,mnarY2,0,12
0.5794501538989435,0.5364840805809271,0.5589999999999999,0.527,GB,mean,mnarY2,0,12
0.5211203833468581,0.5488276138538224,0.514,0.537,LDA,mean,mnarY2,0,12
0.5046213564933925,0.49081477775628707,0.51,0.492,SVC,mean,mnarY2,0,12
0.5115610000375789,0.5287820738856599,0.517,0.508,RF,mean,mnarY2,0,12
0.5770735897119124,0.5470108115253303,0.532,0.539,GB,median,mnarY2,0,12
0.5435088646919916,0.5339872762786483,0.537,0.533,LDA,median,mnarY2,0,12
0.5028430454089826,0.5248045812984659,0.501,0.499,SVC,median,mnarY2,0,12
0.5231227744623203,0.5233432646986188,0.496,0.53,RF,median,mnarY2,0,12
0.6142965376969871,0.5327070942388357,0.573,0.525,GB,knn,mnarY2,0,12
0.5263430004465033,0.5345455073718657,0.519,0.531,LDA,knn,mnarY2,0,12
0.5140429829297457,0.4825396585276775,0.524,0.48200000000000004,SVC,knn,mnarY2,0,12
0.5109828870041866,0.5099199475769906,0.5029999999999999,0.515,RF,knn,mnarY2,0,12
0.6089168160513531,0.528147142445337,0.5700000000000001,0.526,GB,mice,mnarY2,0,12
0.5332843668520514,0.512064843939376,0.5199999999999999,0.513,LDA,mice,mnarY2,0,12
0.4823191562853764,0.5065171343064679,0.491,0.517,SVC,mice,mnarY2,0,12
0.5108196473909097,0.5321474224253158,0.5200000000000001,0.53,RF,mice,mnarY2,0,12
0.6161028107612683,0.486356276684091,0.581,0.48600000000000004,GB,tree,mnarY2,0,12
0.5138031990473958,0.542367201906265,0.512,0.533,LDA,tree,mnarY2,0,12
0.5137054401718684,0.4958420391859114,0.521,0.502,SVC,tree,mnarY2,0,12
0.504760506062611,0.4968786374435763,0.515,0.507,RF,tree,mnarY2,0,12
0.7098703207655699,0.7015296967872058,0.681,0.6459999999999999,GB,complete_case,mnarY4,0,12
0.7154336682167617,0.7127125377603787,0.6519999999999999,0.658,GB,mean,mnarY4,0,12
0.529646938283264,0.5309252593926861,0.516,0.533,LDA,mean,mnarY4,0,12
0.5080798656096102,0.5483678980142912,0.518,0.536,SVC,mean,mnarY4,0,12
0.6988903992440061,0.6929095190431408,0.641,0.6260000000000001,RF,mean,mnarY4,0,12
0.6924497371705959,0.7065349992382193,0.659,0.646,GB,median,mnarY4,0,12
0.5357844007690085,0.5360831641387429,0.524,0.5199999999999999,LDA,median,mnarY4,0,12
0.4916149718213118,0.539264910884846,0.507,0.546,SVC,median,mnarY4,0,12
0.6926518222050296,0.6888086287620359,0.627,0.6360000000000001,RF,median,mnarY4,0,12
0.7239985583192172,0.5496908214230787,0.672,0.537,GB,knn,mnarY4,0,12
0.5343240026283541,0.5578327820777276,0.54,0.553,LDA,knn,mnarY4,0,12
0.5345865258794786,0.5458662612959976,0.526,0.52,SVC,knn,mnarY4,0,12
0.5541509673176201,0.526821949902073,0.5349999999999999,0.515,RF,knn,mnarY4,0,12
0.7211952707875829,0.683089917635221,0.657,0.616,GB,mice,mnarY4,0,12
0.5379893391500014,0.5221451616950411,0.528,0.521,LDA,mice,mnarY4,0,12
0.4779349783717867,0.5380274161869968,0.483,0.55,SVC,mice,mnarY4,0,12
0.7049925400703335,0.6860932311718566,0.639,0.609,RF,mice,mnarY4,0,12
0.7082733183282314,0.6214977440120962,0.663,0.578,GB,tree,mnarY4,0,12
0.5132261125272192,0.5573477095608721,0.523,0.54,LDA,tree,mnarY4,0,12
0.5214437350097555,0.5178032749253317,0.511,0.5279999999999999,SVC,tree,mnarY4,0,12
0.5973582472292847,0.5804355825738636,0.5519999999999999,0.525,RF,tree,mnarY4,0,12
0.9143262045292163,0.8978222552147171,0.893,0.889,GB,complete_case,mnarY8,0,12
0.9219073648061084,0.9016042360538574,0.8950000000000001,0.891,GB,mean,mnarY8,0,12
0.546669811038727,0.5149419383715081,0.558,0.5399999999999999,LDA,mean,mnarY8,0,12
0.4984384272761009,0.4834763488353637,0.549,0.5439999999999999,SVC,mean,mnarY8,0,12
0.9014434876861035,0.9067261588103588,0.897,0.8949999999999999,RF,mean,mnarY8,0,12
0.9145273170774461,0.8970651026687303,0.893,0.8949999999999999,GB,median,mnarY8,0,12
0.5258456157740624,0.5005358639105207,0.544,0.534,LDA,median,mnarY8,0,12
0.4883152600974384,0.49297908782474886,0.548,0.5530000000000002,SVC,median,mnarY8,0,12
0.9105464628095461,0.9021040279298038,0.8950000000000001,0.898,RF,median,mnarY8,0,12
0.914226854858355,0.8595375503936948,0.89,0.78,GB,knn,mnarY8,0,12
0.678167582664629,0.6931083144328839,0.625,0.634,LDA,knn,mnarY8,0,12
0.6815095014903652,0.6735467844503538,0.626,0.6199999999999999,SVC,knn,mnarY8,0,12
0.7811028521819768,0.784344995123762,0.692,0.703,RF,knn,mnarY8,0,12
0.9057445300352365,0.8914831699256359,0.891,0.889,GB,mice,mnarY8,0,12
0.5385869139134802,0.5036222889996083,0.5519999999999999,0.5230000000000001,LDA,mice,mnarY8,0,12
0.4557083619526418,0.48509834776995103,0.519,0.5450000000000002,SVC,mice,mnarY8,0,12
0.9035831254193847,0.9017626552571223,0.891,0.8940000000000001,RF,mice,mnarY8,0,12
0.9058264109724297,0.9024053605840777,0.8959999999999999,0.868,GB,tree,mnarY8,0,12
0.6286774235646855,0.6367784617597414,0.6130000000000001,0.618,LDA,tree,mnarY8,0,12
